dt,auto_reply_msg_type,message_count,daily_percentage
20260201,AutoReply,19344,1.71
20260201,AutoReplyCard,15261,1.35
20260201,CardQuestion,13,0.0
20260201,CardReply,6111,0.54
20260201,IntelligentResponse,220130,19.48
20260201,PMS_CARD_RESPONSE,467,0.04
20260201,PMS_TEXT_RESPONSE,90040,7.97
20260201,NULL,778901,68.91
20260202,AutoReply,19764,1.74
20260202,AutoReplyCard,15533,1.36
20260202,CardQuestion,5,0.0
20260202,CardReply,6205,0.54
20260202,IntelligentResponse,220592,19.37
20260202,PMS_CARD_RESPONSE,483,0.04
20260202,PMS_TEXT_RESPONSE,91087,8.0
20260202,NULL,784937,68.94
20260203,AutoReply,19463,1.69
20260203,AutoReplyCard,15543,1.35
20260203,CardQuestion,15,0.0
20260203,CardReply,6279,0.54
20260203,IntelligentResponse,223541,19.37
20260203,PMS_CARD_RESPONSE,481,0.04
20260203,PMS_TEXT_RESPONSE,93658,8.12
20260203,NULL,794861,68.89
20260204,AutoReply,12418,1.09
20260204,AutoReplyCard,10054,0.88
20260204,CardQuestion,11,0.0
20260204,CardReply,4149,0.36
20260204,IntelligentResponse,224191,19.67
20260204,PMS_CARD_RESPONSE,516,0.05
20260204,PMS_TEXT_RESPONSE,92654,8.13
20260204,NULL,795975,69.82
20260205,AutoReply,1736,0.15
20260205,AutoReplyCard,1287,0.11
20260205,CardQuestion,4,0.0
20260205,CardReply,605,0.05
20260205,IntelligentResponse,226139,20.09
20260205,PMS_CARD_RESPONSE,514,0.05
20260205,PMS_TEXT_RESPONSE,95464,8.48
20260205,NULL,799639,71.05
20260206,IntelligentResponse,222656,19.96
20260206,PMS_CARD_RESPONSE,497,0.04
20260206,PMS_TEXT_RESPONSE,92399,8.28
20260206,NULL,799728,71.71
20260207,CardQuestion,1,0.0
20260207,IntelligentResponse,231406,20.12
20260207,PMS_CARD_RESPONSE,480,0.04
20260207,PMS_TEXT_RESPONSE,92808,8.07
20260207,NULL,825592,71.77
20260208,CardQuestion,1,0.0
20260208,IntelligentResponse,223643,20.25
20260208,PMS_CARD_RESPONSE,422,0.04
20260208,PMS_TEXT_RESPONSE,88810,8.04
20260208,NULL,791281,71.66
20260209,CardQuestion,1,0.0
20260209,IntelligentResponse,218819,20.24
20260209,PMS_CARD_RESPONSE,472,0.04
20260209,PMS_TEXT_RESPONSE,85392,7.9
20260209,NULL,776172,71.81
20260210,CardQuestion,2,0.0
20260210,IntelligentResponse,216283,20.31
20260210,PMS_CARD_RESPONSE,482,0.05
20260210,PMS_TEXT_RESPONSE,84189,7.9
20260210,NULL,764065,71.74
20260211,IntelligentResponse,213478,20.2
