dt,auto_reply_msg_type,message_count,daily_percentage
20260401,IntelligentResponse,249808,22.1
20260401,PMS_CARD_RESPONSE,460,0.04
20260401,PMS_TEXT_RESPONSE,86431,7.65
20260401,NULL,793618,70.21
20260402,IntelligentResponse,267900,22.23
20260402,PMS_CARD_RESPONSE,474,0.04
20260402,PMS_TEXT_RESPONSE,89852,7.46
20260402,NULL,846699,70.27
20260403,IntelligentResponse,315820,21.5
20260403,PMS_CARD_RESPONSE,467,0.03
20260403,PMS_TEXT_RESPONSE,100302,6.83
20260403,NULL,1052645,71.65
20260404,IntelligentResponse,372834,22.17
20260404,PMS_CARD_RESPONSE,551,0.03
20260404,PMS_TEXT_RESPONSE,97162,5.78
20260404,NULL,1211427,72.02
20260405,CardQuestion,1,0.0
20260405,IntelligentResponse,288090,22.82
20260405,PMS_CARD_RESPONSE,431,0.03
20260405,PMS_TEXT_RESPONSE,79995,6.34
20260405,NULL,893985,70.81
20260406,IntelligentResponse,234845,23.26
20260406,PMS_CARD_RESPONSE,337,0.03
20260406,PMS_TEXT_RESPONSE,70245,6.96
20260406,NULL,704386,69.75
20260407,CardQuestion,1,0.0
20260407,IntelligentResponse,227045,22.57
20260407,PMS_CARD_RESPONSE,444,0.04
20260407,PMS_TEXT_RESPONSE,74710,7.43
20260407,NULL,703655,69.96
20260408,IntelligentResponse,237162,22.68
20260408,PMS_CARD_RESPONSE,478,0.05
20260408,PMS_TEXT_RESPONSE,77455,7.41
20260408,NULL,730636,69.87
20260409,CardQuestion,5,0.0
20260409,IntelligentResponse,247882,22.85
20260409,PMS_CARD_RESPONSE,524,0.05
20260409,PMS_TEXT_RESPONSE,80476,7.42
20260409,NULL,756065,69.69
20260410,IntelligentResponse,284442,22.47
20260410,PMS_CARD_RESPONSE,541,0.04
20260410,PMS_TEXT_RESPONSE,87641,6.92
20260410,NULL,893374,70.57
20260411,CardQuestion,1,0.0
20260411,IntelligentResponse,289619,23.02
